id,countrycode,country,disease,medicine,status,study_design
1,CA,Canada,asthma_attacks,Advair,complete,research
2,CAN,Canada,asthma_attacks,Advair,active,clinical
3,GER,Germany,asthma_attacks,Advair,active,clinical
4,DE,Germany,asthma,Advicor,active,clinical
5,DE,Germany,asthma,Advair,active,clinical
6,GER,Germany,arthritis,Celebra,active,clinical
7,CAD,Canada,arthritis,Celexa,active,clinical
8,CAD,Canada,Osteoarthritis,Celebrex,active,research
9,USA,United States,Osteoarthritis,Celexa,active,clinical
10,SE,Sweden,arthritis,Celebrex,active,clinical
11,SW,Sweden,anxiety?,Lexapro,complete,clinical
12,SW,Sweden,tension,Cipralex,active,clinical
13,SE,Sweden,high_cholesterol,CoZaar,active,research
14,US,United States,tension,Lexapro,active,clinical
15,USA,United States,high_cholesterol,CoZaar,active,clinical
16,ES,Spain,anxiety?,Cipralex,active,clinical
17,ES,Spain,tension,Lexapro,active,clinical
18,SP,Spain,high_cholesterol,Simovil,complete,research
19,US,United States,phobias,Loxitane,active,clinical
20,ES,Spain,anxiety?,Loxitane,active,clinical
21,CA,Canada,hyperlipidemia,CoZaar,active,research
22,CAN,Canada,hyperlipidemia,CoZaar,active,clinical
23,DK,Denmark,high cholesterol,CoZaar,active,clinical
24,DK,Denmark,hypercholesterolemia,Simovil,active,clinical
25,DN,Denmark,hypercholesterolemia,Zocor,active,clinical
26,US,United States,hypercholesterolemia,Zocor,active,clinical
27,PL,Poland,deep vein thrombosis,Clexane,active,clinical
28,PL,Poland,deep vein thrombosis,Levemir,active,research
29,USA,United States,deep vein thrombosis,Levemir,active,clinical
30,POL,Poland,arthritis,Celebra,active,clinical
31,CAN,Canada,deep vein thrombosis,Lovenox,active,clinical
32,POL,Poland,asthma attacks,Seretide,active,clinical
33,UK,United Kingdom,arthritis,Celebrex,active,research
34,US,United States,deep vein thrombosis,Lovenox,active,clinical
35,USA,United States,phobias,Lexapro,active,clinical
36,UK,United Kingdom,phobias,Lexapro,active,clinical
37,UK,United Kingdom,tension,Loxitane,active,clinical
38,GB,United Kingdom,phobias,Loxitane,active,research
39,US,United States,arthritis,Celexa,active,clinical
40,GB,United Kingdom,tension,Loxitane,active,clinical
