ISA_AOFD_ER (in the sense of ISO): age --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): education --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): occupation --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): relationship --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): race --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): hours-per-week --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): age, workclass --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): age, education --> native-country (0.12709030100334448)
ISA_AOFD_ER (in the sense of ISO): age, marital-status --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): age, occupation --> native-country (0.10033444816053512)
ISA_AOFD_ER (in the sense of ISO): age, relationship --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): age, race --> native-country (0.20066889632107024)
ISA_AOFD_ER (in the sense of ISO): age, sex --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): age, hours-per-week --> native-country (0.14046822742474915)
ISA_AOFD_ER (in the sense of ISO): age, salary --> native-country (0.23411371237458195)
ISA_AOFD_ER (in the sense of ISO): workclass, education --> native-country (0.23076923076923078)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, relationship --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): workclass, race --> native-country (0.24414715719063546)
ISA_AOFD_ER (in the sense of ISO): workclass, sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): workclass, hours-per-week --> native-country (0.21739130434782608)
ISA_AOFD_ER (in the sense of ISO): workclass, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): education, marital-status --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): education, occupation --> native-country (0.21739130434782608)
ISA_AOFD_ER (in the sense of ISO): education, relationship --> native-country (0.2140468227424749)
ISA_AOFD_ER (in the sense of ISO): education, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): education, sex --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): education, hours-per-week --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): education, salary --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status, occupation --> native-country (0.23076923076923078)
ISA_AOFD_ER (in the sense of ISO): marital-status, relationship --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): marital-status, sex --> native-country (0.24414715719063546)
ISA_AOFD_ER (in the sense of ISO): marital-status, hours-per-week --> native-country (0.20735785953177258)
ISA_AOFD_ER (in the sense of ISO): marital-status, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): occupation, relationship --> native-country (0.22742474916387959)
ISA_AOFD_ER (in the sense of ISO): occupation, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): occupation, sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): occupation, hours-per-week --> native-country (0.20066889632107024)
ISA_AOFD_ER (in the sense of ISO): occupation, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): relationship, race --> native-country (0.23745819397993312)
ISA_AOFD_ER (in the sense of ISO): relationship, sex --> native-country (0.24414715719063546)
ISA_AOFD_ER (in the sense of ISO): relationship, hours-per-week --> native-country (0.2040133779264214)
ISA_AOFD_ER (in the sense of ISO): relationship, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): race, sex --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): race, hours-per-week --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): race, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): sex, hours-per-week --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): sex, salary --> native-country (0.24749163879598662)
ISA_AOFD_ER (in the sense of ISO): hours-per-week, salary --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): age, workclass, education --> native-country (0.09364548494983277)
ISA_AOFD_ER (in the sense of ISO): age, workclass, marital-status --> native-country (0.15384615384615385)
ISA_AOFD_ER (in the sense of ISO): age, workclass, occupation --> native-country (0.06688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, workclass, relationship --> native-country (0.16387959866220736)
ISA_AOFD_ER (in the sense of ISO): age, workclass, race --> native-country (0.16722408026755853)
ISA_AOFD_ER (in the sense of ISO): age, workclass, sex --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): age, workclass, hours-per-week --> native-country (0.11705685618729098)
ISA_AOFD_ER (in the sense of ISO): age, workclass, salary --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): age, education, marital-status --> native-country (0.08695652173913043)
ISA_AOFD_ER (in the sense of ISO): age, education, occupation --> native-country (0.03678929765886288)
ISA_AOFD_ER (in the sense of ISO): age, education, relationship --> native-country (0.06688963210702341)
ISA_AOFD_ER (in the sense of ISO): age, education, race --> native-country (0.08361204013377926)
ISA_AOFD_ER (in the sense of ISO): age, education, sex --> native-country (0.08695652173913043)
ISA_AOFD_ER (in the sense of ISO): age, education, hours-per-week --> native-country (0.056856187290969896)
ISA_AOFD_ER (in the sense of ISO): age, education, salary --> native-country (0.11705685618729098)
ISA_AOFD_ER (in the sense of ISO): age, marital-status, occupation --> native-country (0.043478260869565216)
ISA_AOFD_ER (in the sense of ISO): age, marital-status, relationship --> native-country (0.1605351170568562)
ISA_AOFD_ER (in the sense of ISO): age, marital-status, race --> native-country (0.14381270903010032)
ISA_AOFD_ER (in the sense of ISO): age, marital-status, sex --> native-country (0.14715719063545152)
ISA_AOFD_ER (in the sense of ISO): age, marital-status, hours-per-week --> native-country (0.09364548494983277)
ISA_AOFD_ER (in the sense of ISO): age, marital-status, salary --> native-country (0.17725752508361203)
ISA_AOFD_ER (in the sense of ISO): age, occupation, relationship --> native-country (0.04013377926421405)
ISA_AOFD_ER (in the sense of ISO): age, occupation, race --> native-country (0.07357859531772576)
ISA_AOFD_ER (in the sense of ISO): age, occupation, sex --> native-country (0.07692307692307693)
ISA_AOFD_ER (in the sense of ISO): age, occupation, hours-per-week --> native-country (0.04013377926421405)
ISA_AOFD_ER (in the sense of ISO): age, occupation, salary --> native-country (0.07692307692307693)
ISA_AOFD_ER (in the sense of ISO): age, relationship, race --> native-country (0.14046822742474915)
ISA_AOFD_ER (in the sense of ISO): age, relationship, sex --> native-country (0.1605351170568562)
ISA_AOFD_ER (in the sense of ISO): age, relationship, hours-per-week --> native-country (0.09364548494983277)
ISA_AOFD_ER (in the sense of ISO): age, relationship, salary --> native-country (0.1705685618729097)
ISA_AOFD_ER (in the sense of ISO): age, race, sex --> native-country (0.16387959866220736)
ISA_AOFD_ER (in the sense of ISO): age, race, hours-per-week --> native-country (0.11371237458193979)
ISA_AOFD_ER (in the sense of ISO): age, race, salary --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): age, sex, hours-per-week --> native-country (0.10702341137123746)
ISA_AOFD_ER (in the sense of ISO): age, sex, salary --> native-country (0.19063545150501673)
ISA_AOFD_ER (in the sense of ISO): age, hours-per-week, salary --> native-country (0.12374581939799331)
ISA_AOFD_ER (in the sense of ISO): workclass, education, marital-status --> native-country (0.2040133779264214)
ISA_AOFD_ER (in the sense of ISO): workclass, education, occupation --> native-country (0.1939799331103679)
ISA_AOFD_ER (in the sense of ISO): workclass, education, relationship --> native-country (0.19732441471571907)
ISA_AOFD_ER (in the sense of ISO): workclass, education, race --> native-country (0.21070234113712374)
ISA_AOFD_ER (in the sense of ISO): workclass, education, sex --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): workclass, education, hours-per-week --> native-country (0.1605351170568562)
ISA_AOFD_ER (in the sense of ISO): workclass, education, salary --> native-country (0.22073578595317725)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, occupation --> native-country (0.22742474916387959)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, relationship --> native-country (0.22742474916387959)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, race --> native-country (0.22408026755852842)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, sex --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, hours-per-week --> native-country (0.18729096989966554)
ISA_AOFD_ER (in the sense of ISO): workclass, marital-status, salary --> native-country (0.2408026755852843)
ISA_AOFD_ER (in the sense of ISO): workclass, occupation, relationship --> native-country (0.22073578595317725)
